GO Term Name,Functional Group
cyclosporin A binding,T-cell mediated immunity
negative regulation of RIG-I signaling pathway,Innate immunity
somatic recombination of immunoglobulin gene segments,B-cell mediated immunity
type III interferon-mediated signaling pathway,Innate immunity
chemokine-mediated signaling pathway,Innate immunity
inflammatory response,Innate immunity
MHC class I protein complex,T-cell mediated immunity
beta-2-microglobulin binding,T-cell mediated immunity
antigen processing and presentation of endogenous peptide antigen via MHC class Ib,T-cell mediated immunity
"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",T-cell mediated immunity
antigen processing and presentation of peptide antigen via MHC class I,T-cell mediated immunity
antigen processing and presentation of exogenous peptide antigen via MHC class Ib,T-cell mediated immunity
MHC class Ib protein complex,T-cell mediated immunity
regulation of natural killer cell mediated immunity,Innate immunity
positive regulation of T cell mediated cytotoxicity,T-cell mediated immunity
peptide antigen binding,T-cell mediated immunity
natural killer cell lectin-like receptor binding,Innate immunity
response to interferon-alpha,Innate immunity
response to interferon-beta,Innate immunity
B cell activation involved in immune response,B-cell mediated immunity
natural killer cell activation involved in immune response,Innate immunity
type I interferon receptor binding,Innate immunity
T cell activation involved in immune response,T-cell mediated immunity
cytokine receptor binding,Other and general immune processes
response to exogenous dsRNA,Innate immunity
type I interferon-mediated signaling pathway,Innate immunity
humoral immune response,B-cell mediated immunity
cellular response to virus,Innate immunity
defense response,Other and general immune processes
defense response to bacterium,Other and general immune processes
immune response-inhibiting cell surface receptor signaling pathway,Other and general immune processes
immune receptor activity,Other and general immune processes
natural killer cell mediated immunity,Innate immunity
activating MHC class Ib receptor activity,T-cell mediated immunity
cellular response to interferon-beta,Innate immunity
inhibitory MHC class I receptor activity,T-cell mediated immunity
interleukin-10-mediated signaling pathway,Other and general immune processes
MHC class Ib protein complex binding,T-cell mediated immunity
Fc receptor mediated inhibitory signaling pathway,Other and general immune processes
MHC class Ib protein binding,T-cell mediated immunity
cellular response to lipopolysaccharide,Innate immunity
MHC class I protein binding,T-cell mediated immunity
adaptive immune response,Other and general immune processes
chronic inflammatory response,Innate immunity
classical-complement-pathway C3/C5 convertase complex,Innate immunity
complement binding,Innate immunity
positive regulation of immune complex clearance by monocytes and macrophages,Other and general immune processes
defense response to virus,Innate immunity
cytokine activity,Other and general immune processes
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,Innate immunity
clearance of foreign intracellular DNA,Innate immunity
intracellular transport of virus,Innate immunity
peptide antigen transport,T-cell mediated immunity
virion attachment to host cell,Innate immunity
N-formyl peptide receptor activity,Innate immunity